系所名稱,作者(外文),論文名稱(外文),指導教授(外文),出版年,外文關鍵詞,摘要(外文)
NTHUIEEM,"Chen, Yen-Ning",Multimedia Interface Design for Energy Information Websites,"Hwang, Sheue-Ling",103,"Multimedia interface design
energy information
satisfaction
auditory feedback
auditory icon","Poor usability and lack of attractiveness may be barriers to user satisfaction. Enhancing usability and increasing user interest are critical for web pages that carry a high information load, such as those on energy policy and knowledge-promotion websites. The objectives of this study are to enhance the attractiveness and usability of web pages with a multimedia interface design and to explore the influence of multimedia in such environments. 
A survey and heuristic evaluation of the usability of existing energy information websites in Taiwan was conducted in this study. Interface problems of energy information websites were identified through evaluation against five evaluation items we generalized from two recognized rules. We developed a multimedia interface prototype to explore the effects of multimedia. A between-groups experiment included two independent variables (on-click effects and mouse-over effects) with two levels (with or without).
The results of the experiment verified that satisfaction increased significantly when users employed the multimedia interface with auditory icons and click sound. Design suggestions for energy information websites are proposed so that common weaknesses can be avoided in the future. By improving the overall usability, users’ satisfaction with the websites will increase and knowledge of energy issues can be promoted."
NTHUIEEM,"Dai,  W.T.",Design and Analysis of Supply Chain One-Stop Logistic Service Models,Amy J.C. Trappey,103,"One-stop service
Logistics management
Supply chain integration
Logistic service models","With the global supply chain competitiveness, partners in supply chain which not only benefit themselves, but also must consider the efficient operation of the entire supply chain. Therefore, how to integrate all the services and related information is getting more important. Many enterprises have regarded logistics as the core competence of their corporate strategy, improving the quality of logistic services and integrating the comprehensive services to enhance their competitive advantage. However, the current logistics industries have encountered some limitations and bottlenecks in the operational model of industries, such as transportation efficiency, information transparency and the lack of integration between material, information and cash flows. Therefore, the operations of most manufacturing supply chain still have room for improvement. 
In this research, a new concept of “one-stop” logistic services is proposed to provide solutions for enterprises with more integral and comprehensive services, meanwhile, it expects to improve the operational efficiency and enhance the competitiveness. This research summarizes the exact definition, scope and operational mode of the one-stop logistics services. In addition, the process models are constructed by the different needs and service model to provide for the logistics industries a developing reference. There are four divided models, which conclude respectively from Model 0 to Model 3. Furthermore, the survey of enterprises and logistics industries is conducted, verifying the importance and requirements of one-stop logistics service. This research also uses Income4 as the tool for the process design, model construction and simulation. The study collects the related data from the case company, using field data to express the logistics service model and process. Finally, the simulation is run to evaluate the benefits and difference between the as-is and to-be models. This research develops an innovative logistic solution with efficiency and customization, which hopes to help the current industrial logistics solve the current unsatisfied needs and make the logistic services more competitive and valuable. 
"
NTHUIEEM,"Chang, Yi-Yun",Calculating the Deterioration-effect Multi-state Flow Network with Capacity Level d and Evaluate Reliability,"Yeh, Wei-Chang",103,"Multi-state flow network
Minimal path
Deterioration effect
Flow conservation law
Network reliability
Sum-of-Disjoint Products","Life around, there are many systems use a multi-state network. For example: signal transmission, power transmission and transportation systems, etc. In traditional multi-state network, the flow value will the same form source node to sink node, but some things will lost the flow value during transmission gradually, so deterioration-effect network systems been proposed [1], to make more realistic variety of situations.
The reliability is an important indicator in the network system, the success probability of transmission that from source node to sink node. To determine the reliability of the network system must obtain the solutions first, and the solutions can calculated the reliability of this network system.
This paper will present algorithms of calculate the deterioration-effect multi-state network reliability, and the propose methods for solving two different situations: single-MP and NSIEMde (the node-based sequential implicit enumeration method under deterioration-effect). The NSIEMde is generated from NSIEM that Dr.Yeh. proposed [2]. Single-minimal path effective use of imprescriptible system, such as: fresh food transport, is quite practical in the more and more popular for delivery to door. NSIEMde, have deterioration-effects of multi-state network can be used to solve.
This study first determine the deterioration-effect minimum path of capacity level d, and then use improved sum-of-disjoint products (iSDP) Dr.Yeh. proposed [3] to calculated reliability. Therefore, this study by the algorithm can correctly estimate the deterioration-effect multi-state network reliability in order to understand the performance of the network system.
"
NTHUIEEM,"Lin, Yu-Chun",The Influence of Dependence and Trust on Buyer Performance and Relational Risk in Buyer-Supplier Relationships,"Chu, Yee-Yeen",103,"Dependence
Trust
Relational Behavior
Performance
Relational Risk
Supplier Relationship","  Building good partner relationships with suppliers is very important for buyers in the supply chain. This study tried to clarify how dependence and trust drive buyer’s relational behaviors and how the influence of relational behaviors on buyer performance and relational risk for long-term relational development. Buyers can improve their decision, process and effectiveness when develop buyer-supplier relationships through this viewpoint.
  This study examines the theoretical structure of how buyers’ dependence and trust of suppliers influence their relational behaviors and their performance and relational risk in the relationships. This study selects five companies which are among the best in their industries as case study examples and examines the influences of dependence, trust, relational behaviors on buyer’s performance and relational risk. Finally, based on literature and the case analysis, this study constructs an influence framework for assessing the impacts of dependence, trust on buyer performance and relational risk, along with the sources of relational risk. It suggests effective measures buyers can take to improve performance, reduce relational risk and maintain the long-term relationship."
NTHUIEEM,"Chuang, Tzu-Hsien",Enhancing the Risk Priority Number in FMEA for Semiconductor Process Improvement,"Chu, Yee-Yean",103,"Failure Mode and Effects Analysis
Control Plan
Risk Priority Numbers
Grey Relational Analysis
Semiconductor Process Improvement","Failure Mode and Effects Analysis Method (FMEA) is widely used in the semiconductor process improvement activities, including the Risk priority number (RPN) which is used to determine the impact of failure mode on the system basis. The risk priority number supports decision-makers to make the correct judgment to avoid unnecessary waste on improvement and missed opportunity to improve the high-risk crisis. But the traditional RPN method has high repetition, ineffective order comparison on Severity, Occurrence, Detection (SOD), and no account for the failure modes of each project and the failure causes, such as direct and indirect relationships. Therefore, this study proposes a method that combines Grey Relational Analysis (GRA) and Decision Making Trial and Evaluation Laboratory (DEMATEL), to solve the problem of the traditional RPN. This methodfirst uses GRA method to revise the risk priority number. In order to find the right weight between SOD and reduce RPN repetition rate; it sorts by DEMATEL method to improve the direct and indirect relationship between Failure Mode and Cause of Failure, thereby bringing the risk more close to the real needs. Finally, his method applies to two real semiconductor process improvement cases. The effectiveness evaluation through the Control Plan confirms the validity of this method which performs better than the traditional RPN, and provides more reasonable information for decision-makers as a reference."
NTHUIEEM,"Liu, Yu-Ju",The Influence of Green Marketing Communication and Supply Chain Coordination on the Performance of Reverse Logistics,"Chu, Yee-Yeen",103,"Reverse Logistics
Green Marketing    Communication
Supply Chain Coordination
Reverse Logistics Performance","With the promotion of sustainable development and increasing public concerns of environmental protection, the reverse logistics gain more importance in industry and academic than before.
Reverse logistics need frequent communication and coordination to overcome the problems of high uncertainties in organizing and processing recyclables, product quality, delivery architecture and other logistics activities. In this study, we take reverse logistics as the main theme, trying to use literature review and case study to clarify how green marketing communication and supply chain coordination would impact reverse logistics activities and performance.
This study uses three different industrial firms as case study examples to examine their participation in relevant practices of reverse logistics, their promotion of green marketing communication among partners of supply chain and supply chain coordination. Analyzing and discussing the performances of reverse logistics, this study presents the environmental, economic, and social performance impact of reverse logistics as well as their interactions. Considering green marketing communications and supply chain coordination, this study establishes a framework of reverse logistics processes to ensure proper influence on the performance. Finally, the research summarizes key decisions on proper green marketing communication and supply chain coordinate for improved performance.
"
NTHUIEEM,"Rong, Ci-An",Optimal In-line Sampling Policy in Semiconductor Manufacturing,"Chang, Kuo-Hao",103,"Semiconductor Industry
Sampling Policy
Yields
Sampling Cost
Simulation Optimization","In semiconductor manufacturing, the process is one of the most complicated manufacturing processes in the world. The process usually consists of more than 300 manufacturing steps that have complex interaction with each other. Frequent sampling can lead to redundant tests and increased cost, while infrequent sampling makes the quality of final products doubtable. There is a nontrivial tradeoff. How to decide on the optimal sampling policy is a critical, but challenging problem, in semiconductor manufacturing. In this thesis, we study the sampling problem in semiconductor industry and develop a mathematical model to characterize it. We use the simulation optimization technique to solve this model, and compare with multiple start schemes.  We also derive the optimal sampling policy that can achieve minimum cost. A numerical experiment and an empirical study are conducted to verify the viability of the proposed model."
NTHUIEEM,"Yeh, Feng-Ming",Design and Develop Material Flow Cost Accounting Information Management System Integrated with Carbon Footprint,"Trappey, A.J.C.",103,"Material Flow Cost Accounting
Carbon Emission
Carbon Footprint
Information Management Platform
XML","Ecological disaster and global weather abnormality have happened more frequently and caused more serious damages than we would have expected. The importance of sustainability management has become a major issue for all governments, industrial and environmental NGOs, and private sectors. Material Flow Cost Accounting (MFCA) concept is developed to evaluate both material costs and environmental impacts of products and their production. The MFCA includes the consideration of environmental impacts, material costs, and system costs simultaneously. MFCA helps organizations achieve cost reduction by identifying emissions and wastes within manufacturing process. Such precise data motivate managers to enhance material productivity and significantly reduce waste far more effectively than relying only on conventional concept and method of production cost accounting. This research focuses on developing and implementing the MFCA information management system. The system will be suitable for most of industry. The manager can use the system to analyze the MFCA report, and the system can create the MFCA XML file. The related function can download the file as a reference to realize the improvement progress. Besides, the research adds the carbon footprint module to enhance the MFCA environment impact quantized data. It will make the manager has more vision to decide the improvement strategy. Finally, the research uses textile industry as a case study, and analyzes the pros and cons that the industry implements the MFCA. And use the textile industry real data to demonstrate the system."
NTHUIEEM,"Chang, Y.C.",Using System Dynamics Approach to Analyze the Impact of Carbon Tax on Photovoltaic Systems Installation and Electricity Costs,"Trappey, J.C.",103,"Carbon tax
Photovoltaic
Renewable energy
Electricity price
System Dynamics","Global warming has influenced our daily life significantly. The price of fossil fuel energy is increasing recently because of the limited supplies and the growth of energy demand. Furthermore, using traditional fossil fuel will generate more greenhouse gases causing other negative social impact. Hence, executing and promoting green energy policies have become the most important issues for governments around the world. Taiwan government also implements many new energy developing policies to change the energy structure, enhance the development of renewable energy, and reduce carbon dioxide emission. The photovoltaic industry in Taiwan is competitive because of complete supply chain and plenty semi-conductor talents. Above reasons make solar energy becomes the favorable options for implementing renewable energy. However, reducing carbon dioxide emission and promoting renewable energy needs well thought and executable policies and regulations. Many countries have taken more active actions, such as carbon tax and carbon trade. Carbon tax is levied based on the quantity of carbon generated during operations, e.g., power plant generating electricity. Therefore, how to decide a reasonable and effective tax rate is an important issue for governments. If the margin cost of reducing carbon dioxide emission is lower than the carbon tax rate, the emission sources will be effectively reduced continuously; otherwise it will not be effective in carbon reduction. As a result, government can control the tax rate to reach their goals of clean air. This research uses System Dynamics (SD) approach to evaluate the influence of carbon tax on the PV system installation and the fluctuation of electricity cost. Meanwhile, it also evaluates the allocation of tax incomes in supporting renewable energy, i.e., PV installation. We build qualitative and quantitative models using different scenarios to evaluate the potential achievements of tax incomes, emission reductions, electricity cost, and PV capacities. The results serve as valuable references for governments making decisions in renewable energy and carbon reduction policies."
NTHUIEEM,"Chen, Hung-Chun",Risk Assessment for In-Vehicle Speech Interaction Systems: Talking Car System,"Hwang, Sheue-Ling",103,"Risk Assessment
In-Vehicle Speech Interaction System
FMEA
Driving Safety","The purpose of this study was to identify the potential problems of an in-vehicle speech interaction system called Talking Car by using risk assessment techniques. 
In this study, 16 participants took part in a driving simulation experiment and were asked to complete the assigned tasks by controlling the Talking Car system while driving. The participants also had to answer a subjective questionnaire and sit for an interview after the experiment. By conducting the experiment, the failure modes, incorrect operations, failure causes, and effects were observed and collected. Then, a modified failure mode and effects analysis (FMEA) method which took human operation into account was used to determine and analyze these failure modes and incorrect operations. After completing the analysis, the risk priority number (RPN) was computed to detect which failure had a significant effect on driving safety. RPNs and subjective questionnaires indicated that “System Dialogue with Elicitation,” “Control Button on Steering Wheel,” and “Partial System Interface” urgently need improvement. 
This study revealed significant deficiencies in the current Talking Car system. Additionally, the results also revealed that the modified FMEA method was feasible and can be proposed as a systematic technique to assess the task of controlling in-vehicle speech interaction systems while driving. Furthermore, recommendations to address the design problems of the Talking Car system are presented to facilitate driving safety.
"
NTHUIEEM,"Chen, Te-Hung","The Effect of Hygroscopicity, Moisture Transferring, and Air Permeability of Cleanroom Clothing on Physiological Responses and Subjective Comfort","Wang, Mao-Jiun J.",103,"cleanroom clothing
double-layer clothing
wear comfort
air andmoisture permeability
clothing micro-climate
semiconductor manufacturing","The function of cleanroom clothing is to protect the product from contamination by people, and to dissipate electrostatic discharge. People in the cleanroom work environment often complain about the discomforts associated with the wearing of cleanroom clothing. This study investigates the effect of wearing cleanroom clothing on physiological and subjective responses. Two experiments have been designed. The first experiment is to investigate the effect of air permeability and water vapor permeability of cleanroom clothing on subject’s physiological and subjective responses. Ten subjects participated in this study. The results indicate that skin temperature, micro-climate temperature and relative humidity were lower while wearing cleanroom clothing with high air permeability and high water vapor permeability. As the task time increased, the micro-climate temperature also increased but the micro-climate relative humidity decreased at first and then increased. In addition, the physiological responses showed significant positive correlations with the subjective perception of clothing comfort. 
The second experiment is to investigate the influence of the double-layer clothing in semiconductor manufacturing cleanroom environment. Twenty subjects participated this study. Each subject completed four treatment combinations with four different inner clothings (e.g. 100% cotton, 70% cotton + 30% polyester, 65% polyester + 35% cotton, 100% polyester). The results indicate that wearing 100% polyester inner clothing caused a significant increase in inner micro-climate relative humidity (p < 0.01). Wearing 100% cotton inner clothing caused a significant increase in both inner micro-climate relative humidity (p < 0.01), and inner clothing’s moisture absorption. Further, wearing the blending fiber inner clothing caused lower relative humidity in the inner and outer clothing micro-climate (p < 0.05). Moreover, wearing 65% polyester + 35% cotton inner clothing had higher subjective comfort than that of wearing 70% cotton + 30% polyester. 
In summary, the findings of this study provide useful information for cleanroom clothing design and selection, and the moisture absorption and water vapor transportation characteristics of the inner clothing are the major factors affecting the comfort of wearing double-layer clothing."
NTHUIEEM,"Tsai, Yi-Ling",Hybrid Renewable Energy Systems Design in a Risk Management Framework,"Chang, Kuo-Hao",103,"Energy management
Hybrid renewable energy system
Risk management
Decision support systems","Hybrid renewable energy system (HRES), which combines several renewable power, including photovoltaics (PV) and wind power, and a small portion of power generated by conventional power generators as backups when the renewable power is insufficient, is gaining more popularity over the decades because it has minimal impact on environment and health. However, due to the uncertain amount of power generated by the HRES, the HRES-based power supply can be very unstable. In this paper, we propose a stochastic programming model and apply an analysis methodology to ensure the robust power supply and reduce the power shortage risk for HRES when the distribution of the amount of renewable power is ambiguous. In order to validate the performance of our methodology, we create some realistic-size scenarios to test the model and the proposed analysis methodology. Results show that the instances can be efficiently solved. Finally, we create a decision support system (DSS) that integrate the proposed model and the analysis methodology is developed as an e?cient decision tool to enable e?ective and e?cient energy management of HRES. The visualized outputs of DSS allow decision makers to gain better understanding about the management of HRES, facilitating the decision making process."
NTHUIEEM,"Liao, Chieh-An",Visualization of Augmented Reality for Contextual Content,"Hou, Jiang-Liang",103,"augmented reality
keyword correlation
vector space model
neural network","As a person searches and reads documents of specific topic over the Internet, he/she might not understand or might be interested in some particular, confusing terms of the documents and might try to access some other references in order to clarify these confusing terms. However, there might be only few references linked to the documents via hyperlinks and these references usually provide limited ideas or concepts, which might cause the person to spend time on searching and filtering helpful references.
In order to improve the efficiency and effectiveness for studying and comprehending the contextual content, this research develops a model for construction and visualization of augmented reality for the contextual content. Firstly, this research analyzes a great number of target documents and identifies some reference documents corresponding to the target ones. Secondly, a model is developed for analyzing these reference documents and transforming the documents into structured ones. After that, the proposed model can be applied for analyzing the topics and evaluating the characteristics of each structured document by using the vector space model and the neural network method. Finally, the proposed model can visually display the topics and characteristics of reference documents with respect to the target one to the reader.
Based on the proposed model, this research develops a corresponding system to virtually construct the augmented reality for the target documents. Afterwards, this research designs some experiments to check the performance of the proposed model and constructed system. Consequently, the result of the experiments shows that the proposed model and system can effectively assist readers to understand the target document deeply and quickly."
